Book_name,Book_price,Book_postage
Frank Herbert THE ROAD TO DUNE Book Brian Herbet Kevin J. Anderson Sci Fi Book,£21.92,£16.88
"Machines Like Me by Ian McEwan-Signed, UK, First Edition-Exclusive Hatchards ED",£49.99,£19.99
ISAAC ASIMOV I Robot Book 1970 Vtg ISAAC ASIMOV Book Vtg Sci Fi Book 70s Sci Fi,£37.58,£16.88
ALAN DEAN FOSTER Alien 1979 WARNER BOOKS Edition MOVIE Tie In Vintage Alien Book,£125.28,£16.88
Mutant by Henry Kuttner Vintage Sci Fi Paperback 1962 Free UK Postage ,£3.65,£4.50
Strangers from Earth by Poul Anderson Vintage Sci Fi Paperback Free UK Postage ,£2.99,£4.50
All The Traps Of Earth and other stories CLIFFORD  SIMAK 1967 Vintage Paperback,£2.99,£5.50
Giant of Worlds End by Lin Carter Vintage Sci Fi Paperback 1972 Free UK Postage ,£3.65,£4.50
The Fracas Factor Mack Reynolds Vintage Sci Fi Paperback 1983 Free UK Postage ,£3.65,£5.50
The Man Who Fell to Earth by Walter Tevis. 2000 Paperback Edition.,£6.95,£6.80
The Tomorrow People - Three In Three - 1976 Piccolo TV Times Paperback,£0.99,£8.00
John Wyndham THE CHRYSALIDS First Edition 1955 UK hardcover + repro dj - good,£45.00,£15.46
"Irsud: A Novel of the Diadem, by Jo Clayton - DAW Book 306, 1978",£6.00,£7.95
FRANK HERBERT Children of DUNE 1976 Vtg FRANK HERBERT 1st Edition 1st Printing ,"£8,769.42",£28.16
FRANK HERBERT Dune Book 1984 Vintage Frank Hebert Book Vintage Dune Book Sci Fi,£68.90,£16.88
Whispers from the unicorn: Close encounter - unicorn interactive journal ages 7-,£3.01,£1.99
Memory's Legion: The Complete Expanse Story Collection by James S. A. Corey,£15.35,£17.99
"Double Phoenix, Edmund Cooper/Roger Lancelot Green - Ballantine Books, 1971",£12.00,£7.95
Night of the Black Horror by Victor Norwood Badger Science Fiction paperback ,£56.38,£7.33
Signed Book - Amongst Our Weapons by Ben Aaronovitch First Edition 1st Print,£16.99,£17.99
"Terry Brooks The Dark Legacy of Shannara All double signed by TB , T LOCKWOOD HB",£120.00,£65.00
Thunderbirds Are Go - Gerry Anderson - Original 1966 Armada Paperback,£3.00,£8.00
Survivors Series 5,£9.99,£10.00
"The War of the Worlds by H. G. Wells (Paperback, 1975) Book English",£16.77,£11.22
"Spaceways #7: The Manhuntress, by John Cleve - Playboy Paperbacks, 1982",£8.00,£7.95
Momenticon by Andrew Caldecott,£13.56,£17.99
"Other Days, Other Eyes by Bob Shaw 1973 Readers Union Hardcover nice dustjacket	",£10.00,£12.50
"The Collapsing Empire - Paperback NEW Scalzi, John Uncorrected Advance Copy",£29.99,£14.00
"The Farm by Joanne Ramos-Signed, Numbered UK Limited Edition",£29.99,£19.99
MARK GRANT Holocaust Horror Book Vintage MUTANTS AMOK Book 4 Vtg MARK GRANT Book,£144.07,£16.88
Exalted on Bellatrix 1 by Eric Brown-First Edition-Signed/Numbered,£49.99,£19.99
JULIUS P. NEWTON The Forgotten Race Vtg Alien Book Vtg Sci Fi Naked Lady Cover,£31.32,£16.88
CHRISTOPHER PRIEST - THE PRESTIGE - RARE 1ST UNCORRECTED PROOF ARC PB 1995,£19.99,£24.40
They: The Lost Dystopian 'Masterpiece' (Emily St. John Mandel) by Kay Dick,£7.51,£17.99
Vintage R.A Lafferty Fourth Mansions 1977 Star Paperback Book,£14.99,£9.00
"The Sword of Orley, Stewart Farrar, Good Condition, ISBN 009918320X",£5.83,£2.36
Survivors Series 3,£9.99,£10.00
"Star Wars Clone Wars: No Prisoners by Karen Miller (Hardcover, 2009)",£225.51,£30.08
FRANK HERBERT Dune 1982 Vintage FRANK HERBERT Book Vtg Dune Book Vtg Sci Fi Book,£68.90,£16.88
STEPHENIE MEYER Twilight Graphic Novel Vol 2 Young Kim STEPHENIE MEYER 1st Ed,£187.92,£28.16
Clue - The Case of the Invisible Cat - A.E. Parker 1st Edition 1992 Vintage Game,£14.09,£7.33
"Devourer: A Shield of Baal Novel (Wahammer 40K) (Hardback, 2014) Very Good",£39.99,£9.99
A Desolation Called Peace by Arkady Martine,£8.69,£17.99
Judge Dredd: The Complete Case Files 39 by John Wagner,£14.82,£17.99
"Han Solo's Revenge by Daley, Brian Book The Cheap Fast Free Post",£5.99,£8.00
"12 To The Moon, by Robert A. Wise - paperback, Badger SF59, film tie-in 1961",£10.00,£7.50
"Han Solo at Stars' End, Daley, Brian, Good Condition, ISBN 9780722128275",£3.83,£2.36
"Wizard Of EarthSea, Ursula Le Guin. Paperback 1976",£6.20,£14.09
C.S. Lewis THE PILGRIMS REGRESS 1977 Vtg C.S. Lewis Book Vtg Fount Book Sci Fi,£37.58,£16.88
George Gipe BACK TO THE FUTURE 1985 CORGI Vtg BACK TO THE FUTURE Book Tie In,£20.04,£16.88
H.G. Wells THE WAR OF THE WORLDS 1975 PAN Books Alien Laser Beam Spider Cover,£25.62,£16.88
MAHOGANY TRINROSE SIME/GEN #4 1982 FANTASY SCI-FI Powers Myth Magic Classic PB,£16.93,£16.88
Amongst Our Weapons - Ben Aaronovitch - SIGNED Exclusive First Edition 367/500,£50.00,£12.95
"Decade the 1940’s, edited by Aldiss & Harrison - SF paperback, Pan Books, 1977",£5.00,£7.50
Thunderbirds Are Go - Gerry Anderson - Original 1966 Armada Paperback,£3.00,£8.00
Conditionally Human and Other Stories by Walter M. Miller 1982 UK 1st/1st PBO,£8.99,£8.00
"Atlan, by Jane Gaskell - paperback, Tandem Books, 1976",£5.00,£7.50
"The Sword of Orley, Stewart Farrar, Good Condition, ISBN 009918320X",£5.83,£2.36
"Needle, by Hal Clement - SF paperback, Corgi Books YS1383, 1963",£5.00,£7.50
"A Fall of Moondust,Arthur C. Clarke- 330023128",£2.13,£4.99
Pierce Brown Red Rising Book The Cheap Fast Free Post,£12.99,£8.00
ALAN DEAN FOSTER STARTREK LOG 4 Log Four 1976 Vtg ALAN DEAN FOSTER Vtg Star Trek,£20.04,£16.88
Lee Harding DISPLACED PERSON 1981 Seventeen Boy Psychological Sci Fi Adventure,£200.45,£16.88
WILLIAM F. NOLAN Logan's Run Book 1976 Logans Run Movie George Clayton Johnson ,£68.90,£16.88
"The Adventures of Terra Tarkington, by Sharon Webb - paperback, Bantam, 1985",£5.00,£7.50
"Mars Attacks: Martian Deathtrap, by Nathan Archer - film tie-in, Del Rey, 1996",£8.00,£7.50
"A Song For Lya, by George R R Martin - paperback, Coronet Books, 1978",£12.00,£7.50
Elektra - Jennifer Saint - Exclusive Signed HB Hardback Edition - NEW,£34.97,£25.95
The Book of Accidents by Chuck Wendig,£8.92,£17.99
John Christopher WILD JACK hardcover + dj FIRST EDITION 1974 UK - Tripods author,£16.00,£11.38
They: The Lost Dystopian 'Masterpiece' (Emily St. John Mandel) by Kay Dick,£6.00,£17.99
"Deathworld, by Harry Harrison - 1st UK paperback, Penguin Book 2095, 1963",£5.00,£7.50
Doctor Who - Dark Horizons,£1.99,£7.00
Star Wars: Lando Calrissian and the Mindharp of Sharu by L.Neil Smith HARDCOVER,£112.75,£20.75
Doctor Who: Last Resort by Paul Leanord  BOOK,£11.69,£16.25
"The Martian :,Andy Weir",£3.09,£4.99
PHYLLIS GOTLIEB Sunburst Vtg HORROR Vtg DEMON Book Vtg Occult Demonic Children,£68.90,£16.88
ROBERT HEINLEIN Stranger in a Strange Land 1976 Vtg Robert A Heinlein 70s Sci Fi,£20.04,£16.88
ALFRED BESTER The Demolished Man 1974 VTg ALFRED BESTER Vtg Sci Fi Book 70s Book,£50.11,£16.88
JULIUS P. NEWTON The Forgotten Race Vtg Alien Book Vtg Sci Fi Naked Lady Cover,£31.32,£16.88
"The Halo Highway, by Rafe Bernard ( THE Invaders) - Corgi Books GS7742, 1967",£12.00,£7.50
The Day it Rained Forever by Ray Bradbury 1974 UK Penguin PB - Vintage - VGC,£8.99,£8.00
"Star Wars: Allegiance by Timothy Zahn First Edition (Hardback, 2007) Like New",£16.91,£19.73
"On the Edges of Darkness,Barbara Erskine",£3.21,£4.99
Doctor Who the Deadstone Memorial by Trevor Baxendale   BOOK,£45.99,£16.25
"Lord of Light, by Roger Zelazny - SF paperback, Panther Books, 1977 reprint",£8.00,£7.50
J.K. Rowling Harry Potter and the Prisoner of Azkaban 1999 Vtg J.K. Rowling Book,£31.32,£16.88
EDGAR RICE BURROUGHS The Cave Girl 1925 Vintage EDGAR RICE BURROUGHS Book,£106.48,£16.88
VINTAGE USA  PAPERBACK - THE STAR MILL - EMIL PETAJA - 1966,£4.99,£7.30
"Doctor Who - Earthshock, by Ian Marter - paperback, Target Books, 1983",£8.00,£7.50
"Silverglass: Witch of Rhostshyl, by J.F. Rivkin - paperback, Ace Books, 1989",£8.00,£7.50
The Star Diaries by Stanislaw Lem 1978 UK Futura PB 1st - Vintage Sci-fi - VGC,£14.99,£8.00
"Juggernaut, by Bron Fane (RL Fanthorpe)- paperback, Badger Book SF41, 1960",£6.00,£7.50
The Invincible by Stanislaw Lem 1976 UK Penguin PB 1st - Vintage SF - VGC,£16.99,£8.00
"New Writings in SF-15, Edited by John Carnell - paperback, Corgi, 1969",£3.00,£7.00
Startling Space Stories #2 - UK 1st Rainfall Chapbook - 2011 - RAIN 112 - Zumpe,£7.00,£12.50
ALAN DEAN FOSTER Cyber Way 1992 ORBIT BOOK VINTAGE Alan Dean Foster Book SCI FI,£18.79,£16.88
The Spiderwick Chronicles 5 Book Box Set By Holly Black,£10.88,£80.00
Robert Miall GERRY ANDERSON's UFO 2 British UFO Tv Show Book 70s Sci Fi TV SHOW,£68.90,£16.88
ALAN DEAN FOSTER STARTREK LOG 4 Log Four 1976 Vtg ALAN DEAN FOSTER Vtg Star Trek,£20.04,£16.88
"Star Wars: Choices of One by Timothy Zahn (Hardcover, 2011) 1st Ed",£22.55,£21.42
"VOLS 3, 4 AND 5 OF THE HITCHHIKER'S GUIDE TO THE GALAXY - DOUGLAS ADAMS P/B EDIT",£1.99,£20.00
Amongst Our Weapons: The Brand New Rivers Of London Novel by Ben Aaronovitch,£15.01,£17.99
"Great Space Battles by Herridge, Charles Book The Cheap Fast Free Post",£58.99,£8.00
"Mutant 59: The Plastic Eater by Kit Pedler & Gerry Davis - SF paperback, 1971",£5.00,£7.50
"Doctor Who - Earthshock, by Ian Marter - paperback, Target Books, 1983",£8.00,£7.50
"Lord of Light, by Roger Zelazny - SF paperback, Panther Books, 1977 reprint",£8.00,£7.50
ALL THE TRAPS OF EARTH -  CLIFFORD D SIMAK - MACFADDEN  USA PAPERBACK -1967,£5.99,£7.30
SUPERMAN ALIEN CREATURES VINTAGE COMIC BOOK AND RECORD 1975 ,£9.99,£11.95
ALFRED BESTER The Demolished Man 1974 VTg ALFRED BESTER Vtg Sci Fi Book 70s Book,£50.11,£16.88
ROGER ZELAZNY Today We Choose Faces 1976 Orbit Book Vintage ROGER ZELAZNY Book,£16.28,£16.88
"All 3 books SIGNED! ""The Day That They Return"" & 2 Books in the My Life journey",£48.09,£22.06
Doctor Who: Last Resort by Paul Leanord  BOOK,£11.69,£16.25
"Lamarchos: A Novel of the Diadem, by Jo Clayton - DAW Books, 1980s reprint",£6.00,£7.95
Ephrael Stern: The Heretic Saint by David Annandale (Hardcover Book),£56.38,£39.10
Against A Dark Background by Iain M. Banks 2000 SIGNED UK Orbit PB - VGC,£29.99,£18.00
STAR WARS - LEGO - VISUAL DICTIONARY in Carry Case - DK Books,£10.95,£8.00
2 X STAR TREK TITAN PAPERBACKS THE STARSHIP TRAP AND RULES OF ENGAGEMENT,£2.99,£11.70
The Fifth Horseman by Walter Harris 1st British Vintage Panther 1976 Paperback.,£5.99,£5.85
"Rhapsody in Black, by Brian Stableford - paperback, Pan Books, 1977",£4.00,£7.50
PRE-ORDER Twisted A collection of Gary Numan Inspired Sci-fi Horror stories ,£19.99,£12.00
Eversion by Alastair Reynolds,£17.03,£17.99
They: The Lost Dystopian 'Masterpiece' (Emily St. John Mandel) by Kay Dick,£6.00,£17.99
"Mars Attacks: Martian Deathtrap, by Nathan Archer - film tie-in, Del Rey, 1996",£8.00,£7.50
EDGAR RICE BURROUGHS The Cave Girl 1925 Vintage EDGAR RICE BURROUGHS Book,£106.48,£16.88
ISAAC ASIMOV The Gods Themselves 1972 Vintage ISAAC ASIMOV Book Vtg Panther Book,£18.79,£16.88
